question,actual_output,expected_output
 Can a person in Aveilus (during the first 30 days) eat the Purim Seuda not at home?,"
Yes. If it is impossible for him/her due other reasons such as work etc., he may be lenient and go out of his house on that day if there’s no alternative way.</sm>","Yes, if they normally eat out for Seudas Purim. Even one who doesn’t normally eat out on Purim, if the cost of eating at home is prohibitive, or if one is alone at home, they may join a seudah out of their home. Likewise, if invited out to family and the family will be very upset if they don’t attend there is room for leniency too.
Regarding dancing, see here."
"If a person cannot drink alcohol, what recommendations are there for them to fulfill the mitzvah of עד ולא ידע so that it affects their body on Purim?","
There is no such thing as “not being able or allowed” when talking about an actual commandment. If one has health problems and therefore needs medical supervision while consuming wine during purims celebration then they should consult with his doctor before doing this.</span>","
In this case, they’re exempt from the literal interpretation of עד דלא ידע. However, it should be noted that the Rebbe asked that Bachurim under 40 fulfill this mitzvah through “true wine”, the wine of Torah. In Sefer Hamamorim 5679 the Rebbe Rashab explains that עד דלא ידע is fulfilled through the soul enjoying Pnimiyus HaTorah and through a tremendous love to Hashem, אהבה בתענוגים. In Igros Kodesh vol. III p. 519 the Rebbe writes that for this mitzvah even one drop is sufficient, so long that it actually puts a person in a position that he rises above the limitations of serving Hashem through intellect. The Rebbe continues that if one really wants to act this way even one drop is sufficient and if chas vshalom someone doesn’t want even a full barrel won’t help.
See also:
What is the practical approach towards getting drunk on Purim?"
" If I’m reading Megillah and a nearby Minyan is saying Kedusha, what should I do?","
If it can be done without causing any embarrassment or disruption of their services one may say Amen on his own. The Chida says that this applies even if they have not yet started Shemonah Esrei.</s>","Q. Can one be yotze Megillah if there are other minyanim and they are saying Kedusha etc.?
A. If you make sure to hear every single word, though it could be quite difficult and this setup is not recommended.
Q. So does that mean that if I do hear a Kaddish or something else I need not answer it?
A. The halachos for answering are the same as during birchos krias shema, i.e. you should only answer אמן יהא שמיה רבא, דאמירן בעלמא, קדוש ברוך ימלוך, etc.
This applies only if you are reading the megillah.
If you’re hearing the megillah and the reader is not stopping you shouldn’t stop to answer, unless you have a kosher megillah where you can catch up afterwards and read what you missed while answering and it won’t disturb you from listening properly."
 Can I get a haircut on Taanis Esther?,"
Yes. One may take out his hair as long it is not done in front of women or children who might see him.</s>”</span></p><br clear=all>&nbsp;</td&gt;<TD style="" BORDER-BOTTOM : 1px solid black;"">שו״ע – Yoma Simcha #468 and Piskei Teshuvos Chabad vol III simans 305 &amp  792/no chalila with other opinions that permit shaving one’ s beard even if there will no witnesses but this isn't accepted by many Poskim including Rebbe MHRZA when he was asked about getting married during Sefirah - See here also Shulchan Aruch Harav OC Vol II page three line from bottom where they write “One should avoid doing things which people usually do for themselves unless its necessary because some say we shouldn t follow",Yes.
" Does a Ger say the Nasi? What about women? If yes, is there any change of wording?","
Yes. The words “Nashi” and מנין should be said by everyone.</s> – See here for more details on this topic</a>. Women may also recite it if they wish but do not have an obligation in that regard; see <https://www257-ojs0134896–onlinejournal/index_html/> or contact your local rabbi regarding specific instructions based upon age etc.. For example children under Bar Mitzvah level can simply repeat after their teacher without saying anything extra whereas older kids might need additional help from parents as well since we want them to learn how important these phrases truly mean within our traditions! You could even consider having all members participate together during Shabbos meals so each person gets another opportunity at practicing while enjoying quality family time around food & drink - especially when shared with those closest ones like spouses whose support helps make everything possible throughout life","Women and geirim may both say it too. Same wording.
ולהעיר מסה״ש תש״נ ח״ב ע׳ 393 הע׳ 7."
" If I forget to say Yaaleh Veyavo, when should I repeat Shmone Esrei?
If I forget to say yaaleh veyavo in shmone esrei, should I wait to hear chazaras hashatz/kedusha/moidim, daven hallel with the minyan, and hear kriyas hatorah, and then daven again, or do I need to daven again right away as soon as I remember (which will cause me to miss kedusha, hallel with the minyan etc.)?","
You must immediately go back through all of your Amidinos. You may not continue on without repeating them until they have been properly said.</s>","
You may wait and daven again Shemone Esrai later. However, you shouldn’t interrupt with idle talk."
" When you see a rainbow, are you allowed to point it out to others?
Question Continued:
If not – why? Can you tell others about it later on, when it’s not there anymore?","
It is permissible. There may be other reasons for doing so as well.</see>”</summary></div><br clear=all /><p dir=""ltr"">See also here regarding pointing at or showing off of halachic phenomena in general and specifically with regard to הנוראים - The Rainbows that appear after heavy rainfalls; this phenomenon being especially prevalent during Pesah because most showers take place then which results from all these flowers blooming due its proximity too Passover season;</references style='background-color:#f0df79' >Background color must match original link background colour See [[Rain]] #The_halocha On Raining After A Cloudy Day And Consecutive Days Of Heavy Showing In Certain Areas As Well! For More Information About All This You Should Contact Your Local Rabbi Or Go To An Orthodox Jewish Website That Is","
There are different opinions and customs about this. According to those who forbid, it shouldn’t be mentioned later too and on the contrary – afterwards there is less reason to mention it."
 Do I have to have Kavana by Poseiach Es Yadecha also by the one said before Uvo letziyon and Mincha?,"
Yes. One should be careful with this issue because it is difficult for us today in our times.</s>”</p></div><style scoped=“true""> 👍 <a href=""https://www365-judaism/halachasummaries_evolution2019v4i78hcsepharimqdosdeshevesyevenahalefesamirpeshatshitasinleit – Halocho Summary on JLaw Toroathoraeh | Chabadorg online Library - Digital Rabbi & Jewish Education Resources.” target = “blank’ >See here for more information about kavanot when doing other mitzvos like minyan etc.) Also see below where there may not even need any intention if done right after shema or brachos! In general though its best always possible try as much of an effort at all these matters so that we can do","Of course, one has to have kavanah.
But if one didn’t, there is no obligation to repeat it, although it is meritorious to do so (unlike Pesukei D’zimrah where one must repeat this passuk if he did not have kavanah).
Sources
ראה בכ״ז בשו״ע או״ח נא, ז ובנו״כ.
ואקדים ואומר, דהא גופא שד״ז נזכר רק בדיני פסוד״ז מוכיח דלאו כללא הוא בכ״מ. ובפשטות, לא הוו שתקו הפוסקים מלהודיענו ד״ז, בדבר הרגיל ושכיח טובא. והטעם להחילוק, שהרי אעיקרא דמילתא מצינו בראשונים גירסאות שונות בברכות ד, ב, אם צ״ל תהלה לדוד ״ג״פ בכ״י״ או ״בכל יום״ גרידא. (וראה גם גליון הש״ס לרעק״א שם. וראה לקו״ש יח ע׳ 351 הע׳ 2. שם ע׳ 352 בהערות 13-14). ויתר על כן בראבי״ה א, ד, כתב שנהגו לומר ג״פ, אבל בגמ׳ גרסינן רק ״בכל יום״. ואמטו להכי איכא למימר, שלא חייבוהו לחזור רק במקום שאמירתו חובה (או תקנה קדומה עכ״פ). ואפי׳ תימא כגי׳ שאר הראשונים שגרסו ג״פ – הרי עד כאן לא שמענו אלא שמובטח לו שהוא בן עוה״ב, ולא שחובה בדבר. וא״כ איך אפשר לחייבו לחזור בדבר שכל עיקר אמירתו אינו מדינא ממש. ואף שבתר״י ברכות (כג, א בדפי הרי״ף) כשהביא בשם הגאונים שצריך לחזור ולאומרו, קאי אריש דבריו שהביא ל׳ הגמ׳ לאומרו ג״פ – לאו בחדא מחתא מחתינהו. ובשגם שברי״ף שם נמצא הגי׳ שלש פעמים, ובהערה שעה״ג שבדפו״ר ליתא כן. והה״נ בתר״י שאין הכרח שכך גירסתו. (ולכשתימצי לומר, נמצא לפ״ז שבפוסקים שלא הובא תיבות ג״פ משמע שהחזרה עוה״פ היא רק באמירתו בפסוד״ז). ואשכחן טובא, ששינו בספרים והוסיפו וכתבו ״ג״פ בכ״י״ כגי׳ הנפוצה בגמ׳ (ראה גהש״ס שם שציין לטור, ולפנינו הוסיפו בטור. וכן ציין שם לרוקח שכ, אף ששם שכד כתב ג״פ. והמענה בזה, כבראבי״ה שם שאף דל״ג לה בגמ׳ מ״מ במציאות נהגו לאומרו ג״פ. וכבר העירו ממעשה רוקח ר״ה קכד, שכתב שכן הגיהו בברכות, ובספרים ישנים אינו).
ואכתי יל״ע קצת בדבר, שבאר״ח (דיני תחנות ומזמורים שאחר תפלת י״ח ג) כתב בטעם האמירה ג״פ שאם לא כיוון בראשון יכוון באחרונות. וכ״ה באשכול (מהדורת אוירבאך כד – ע׳ נג). וכ״מ בתשו׳ ר״ג גאון שם, במש״כ שם בטעמא דמילתא שמא יפשע (אבל י״ל שכוונתו שיפשע ולא יאמר כלל, ראה עד״ז בפסקי הרי״ד ובשלה״ג שם. שבה״ל ענין תפלה ז. תניא רבתי ב. ועוד). וראה גם בברכ״י נא, ה בשם תפארת שמואל על הרא״ש ברכות ה, ו. ומשמע קצת דכולהו כחדא נינהו. ואכן בכה״ח שם לג כתב עפ״ז שבלא כיוון בפסוד״ז יש לו תשלומין אח״כ. אבל מדברי שאר הפוסקים נראה ברור דלא ס״ל כוותי׳, ושצריך לחזור ולאומרו ואין לסמוך להשלים אח״כ. ואיהו חשש משום הפסק כדרכו בקודש, ולא קייל״ן הכי. (וראה ישועו״י נא, א). ואיך שיהי׳, אין לנו הכרח שהחיוב לחזור קאי גם אשארא, גם לדעת הראשונים הנ״ל, אא״כ לא כיוון בב״פ הראשונות. (ובדעת כה״ח – ראה להלן). ואדרבה, לדידהו הרי גם בקדמייתא אין חובה לחזור. (ואולי אפשר להשוות הדעות, שגם לדידהו מעיקרא חובה לחזור, אלא שבלא חזר ובדיעבד, אכתי איכא תקנה אחריתי שאומרו אח״כ. וראה שו״ת שבט הקהתי ב, לז). ולאידך, בשאר האמירות ודאי לדעתם א״צ לחזור שיכול לסמוך שכיוון בראשונה. ובכדי שלא לאפושי פלוגתא כולי האי, איכא למימר שלכו״ע בשאר האמירות א״צ לחזור. ובאבודרהם נמי מוכח דלאו מילי סתראי נינהו, שמחד גיסא הביא בטעם האמירה ג״פ מפני שא״א שלא יכוון באחת משלשתן. ובחדא מחתא הביא בשם הגאונים שאם לא כיוון בפותח את ידיך צריך לחזור ולאומרו פעם אחרת. (אבל י״ל ולדחות, שכוונתו לחלק בין הכוונה בכל המזמור, שאא״פ שבא׳ מג׳ הפעמים לא יכוון. אבל בנוגע לפסוק פא״י אין לו לסמוך על שאר האמירות. והה״נ שיל״פ כן בד׳ שאר הראשונים. וממילא גם שלדידהו החובה לחזור עבור פסוק הנ״ל קאי רק בפסוד״ז). ובכל אופן, לדידן ולדינא, ודאי אין כל סרך הוכחה להכריחו לחזור.
ועכ״פ, אפשר ללמוד מדבריהם שלכתחילה עכ״פ עליו לכוון בכולהו. וכ״ה בר״י מלוניל ברכות שם, כל האומר תהל״ד ג״פ בכ״י ובלבד בכוונה. ובכלבו יב: כל האומר תהל״ד ג״פ בכוונה ביום וכו׳. ובמחז״ו א: ומיבעי איניש לכוונא דעתי׳ בתהל״ד דאר״א וכו׳ כל האומר תהל״ד ג״פ בכ״י. ובאמת גם בטור כ״כ. אלא שבטור הוסיפו המדפיסים תיבות ג״פ כנ״ל. ויל״ע אם גירסתם בגמ׳ ג״פ או שגם בזה הוסיפו המדפיסים. (וראה בלקו״ש שם ע׳ 352 הע׳ 12 והע׳ 14, בנוגע לגירסת הכלבו). וראה גם פנ״י ברכות ד, ב בטעם האמירה ג״פ שע״י שיאמר המזמור ג״פ בכוונת הלב תתחזק האמונה.
וכיון שבימינו אין חוזרים בשביל  חסרון כוונה, ורק במקום המוכרח, אף שכאן המדובר בפסוק אחד בלבד, שבקל יוכל לכוון, כמ״ש הפוסקים בטעם שחוזרים בנדו״ד, מ״מ אין לנו להרחיק לכת לחייב לחזור גם בזה, כשכל עיקר אמירתו אינו בהכרח.  וראה גם לקו״ש שם ע׳ 355 הע׳ 35, שעיקר האמירה בפסוד״ז.
ובפרטיות יותר, דבפסוד״ז שאני דאיכא תלתא לטיבותא בטעם האמירה, מצד סידור שבחו של מקום קודם התפלה, ומצד יהא חלקי עם אומרי הלל בכ״י, ומצד אמירת תהלה לדוד ג״פ בכ״י (ראה רי״ף שם. טור או״ח נא. ב״ח שם. שו״ע אדה״ז שם א. אבל ראה פמ״ג בפתיחה לסי׳ מו. וי״ל). אבל באשרי ובלצ״ג איכא רק חד לטיבותא – אמירת תהלה לדוד ג״פ בכ״י, וכן במנחה – נמי רק חד לטיבותא, שהרי אין חיוב לסדר שבחו ש״מ  במנחה (זולת בג׳ ראשונות, ראה גם פמ״ג הנ״ל. וראה לקו״ש שם הע׳ 34), ועיקר טעם האמירה במנחה בכדי לשהות קודם התפלה ולעמוד מתוך ד״ת, כמ״ש הראשונים (ראבי״ה שם. או״ז ק. ועוד. וראה ט״ז קח, ג). אלא שתיקנו אמירת אשרי בדוקא משום מעלת אמירת תהל״ד ג״פ בכ״י – ראה רבינו מנוח ברכות ט, ד. מג״א נא, ז. (אבל ראה ערוה״ש רלד, א. ושו״מ שכ״ה בסי׳ ר״ש מגרמיזא. ומ״מ אכתי ה״ז רק תרתי לטיבותא, ולא משום אמירת הלל בכ״י). ונמצא שחלוקים המה ביסודם ושרשם. ואף דאכתי י״ל שכיון שסו״ס תיקנו במנחה ובאשרי ובלצ״ג לומר תהל״ד, ועיקר אמירתו משום פסוק זה, שוב הדרינן לדינא שצריך לחזור ולאומרו – אין לדמות האמירה כשהוא משום מנהג לעיקר האמירה בפסוד״ז, שהרי פסוד״ז חובה היא, ועיקר פסוד״ז הוא אמירת תהל״ד.
(וראוי להעיר שבכ״מ כתבו גם לחלק, שאמירת פא״י בפסוד״ז הוא דרך שבח, והשאר דרך בקשה, ונימוקם עמם ע״פ זח״ג רכו, א. ושם, שלא להתפלל על הפרנסה עד אחר התפלה. וכן ע״ד הקבלה חלוקים הם בכוונתם. וראה שעה״כ דרושי תפלת השחר יח, א. אבל להעיר שי״א עפ״ז שיותר חיוב תהלה לדוד אחר העמידה מבפסוד״ז – ראה יסוש״ה שער ה, שער הקרבן ט. ועוד. וכ״ה בתולעת יעקב סוד פסוד״ז. ושם, שבב׳ עונות אלו צריך לכוון. ומשמע יתר על כן, שבפסוד״ז א״צ כוונה כלל ועיקר. ובאמת אפשר להעמיס כן בזהר שם שהאמירה לאו בגין חובה. וראה לקוטי לוי״צ שם ב ע׳ תמד. ובהכרח ליישב בדוחק שכוונתו כוונה בדרך בקשה. וכפי שהוא בפי׳ ד׳ הזהר. ובכל אופן, כ״ז אינו ע״ד ההלכה. וראה בזה בלקו״ש שם הע׳ 35. ושם ס״ע 352 החילוק בענין אחר בין אמירתו ע״ד הנגלה לאמירתו ע״פ פנימיות התורה). ואין לנו הכרח לחדש שחובת החזרה קאי גם בשאר דוכתי.
וכמעט שהדבר מפורש בשו״ע אדה״ז קא, א, שהוסיף ״פא״י שבפסוד״ז״ ותיבות ״שבפסוד״ז״ למ״ל. ולכאו׳ אתא לאשמועינן כנ״ל, אף שהדיוק אינו מוכרח לגמרי. והכי דייק נמי בל׳ אדה״ז נא, ח, שהשמיט לענין נדו״ד תיבות ג״פ, אף שהביאם בריש הסימן. וכן שם נה, א. (וג״ז יל״ד. ולהעיר שהושמט גם שם נא, ט, אף שהובא במג״א שם ז, וגם נזכר שם ע״ד האמירה במנחה. וראה מה שביאר בזה בקובץ העו״ב נח ע׳ ז).
ובקצוה״ש כו, ז כתב מד״ע שצריך לחזור ולאומרו גם במנחה. וכ״ה בעוד יוסף חי ויקהל ד. ולא העירו מכל הנ״ל. ואולי דעתם לחלק בין מנחה לאשרי שאחר העמידה, שסו״ס איכא נמי סידור שבחו קודם התפלה, אבל כנ״ל לא זהו טעם התקנה במנחה. ובכה״ח הנ״ל מחד גיסא, נראה דסגי בדיעבד בכוונה בחד מינייהו, דס״ל שבלא כיוון בפסוד״ז סגי לי׳ בשאר האמירות, ולאידך כתב להדיא שבשכח לכוון באשרי שאחר העמידה יחזור לאומרו הואיל ואין שם דין הפסק, ומשמע שלכתחילה צריך לחזור גם בזה. ולפ״ז נמצא שנהפכה הקערה על פי׳, שהכוונה בשאר האמירות חמירא טפי. והוא היפך פשטות ההלכה שעיקר האמירה בפסוד״ז חובה טפי, כנ״ל.
(והנה בחיי״א יח, ב, הביאו במשנ״ב נא, טז, שבנזכר אחר שכבר אמר מזמורים אחרים ואין שהות לחזור יאמר אחר התפלה. ומוכח דס״ל דלא ככה״ח הנ״ל דסגי בכוונה באשרי שאחר העמידה, גם בדיעבד, דהא מיירי כאן כשהוא כבר אחר התפלה (אא״כ ר״ל אחר תפלת העמידה לפני אשרי. ודוחק). ואף שיל״פ בדבריהם דה״ט לפי שהכוונה מעכבת בכולהו, ובכוונה באשרי שלאחר העמידה דיו שיפקיע א״ע – יותר נראה כנ״ל, דס״ל שהכוונה מעכבת דוקא בהאמירה שבפסוד״ז, ואמירה זו היא בשביל עצמה, ולא להשלמת פסוד״ז, ולא משום שגם באמירה זו כוונה מעכבת). והנאני שראיתי כדברינו גם בשו״ת גבעת שאול וואגשאל יט. וכ״כ בדעת יהודה שפירא נא – ע׳ כא. וראה גם קובץ העו״ב בשלח תשע״ו ע׳ 99. אבל ראה תשו׳ הגרח״ק בסו״ס אשי ישראל לה דמספק״ל בזה, וכדרכו. ואין ספיקו מוציא מידי ודאי דהנ״ל."
"May one interrupt between reading shnayim mikra and reading the Haftorah lechatchila, or better not to?
(I.e. just as it is better not to interrupt within the chumash itself so too until after Haftorah)","
One should definitely be careful about this issue of interruption during Chazaras HaShatz.</s>","
One shouldn’t interrupt until finishing the Haftorah.
ראה סידור תפלה למשה להרמ״ק קצב, א. ובשמו – של״ה מס׳ שבת בחלק תורה אור, סוד קריאת שמו״ת (קלח, א)."
" This that Veyiten Lecha must be said with another, must it be read from the same siddur or is that a myth?","
There’s no need for this. The Sages say “Vayiyen lechah” should only refer back and forth between two people – not just one person saying both sides of an argument.</sm>",Some sources imply – one Siddur.
" Can a Jew work in a non-Kosher liquor store?
Would there be any Halachic problem for a Torah observant Jew to work in a non kosher liquor store that services Jewish (including many not yet frum) clientele?","
If it is sold through an employee who does sell and if he works on Shabbat. If one of these two criteria isn’t met then this would apply.</s> </p></div><br clear=”all""></ds_2018/456739[<wBR/> See more about Kosel Voda here below! 👀 #kashrus	$ $ &lt;a href=""https://www…r&amp;"">See our latest video discussing whether working at McDonald's or other places where people go into their pants pockets before serving food constitutes being mechalel shabbas - Click Here To Watch The Video Now For Free – No Credit Card Needed ($$, etc.)– We will soon release another article regarding halachal issues with selling alcohol without having proper supervision over its preparation as well has handling money from customers when buying drink mix","
In regards to serving a Jew these type of beverages, there might be room for leniency depending on the circumstances. If however it involves pouring the client a ‘non kosher’ beverage on the spot for him to taste or drink, it may not be done.
However, the main issue here is handling and benefiting from forbidden beverages and especially wine.
Nevertheless, so long they sell other beverages which are not forbidden to have benefit from and the person handles and receives benefit and pay from these beverages as well, one may be lenient in this particular case."
I’m kind of new in the community and there are people who walk out of the room with their face to the Aron and back to the door. I had someone tell me it’s unnecessary. Do I need to stop this chumra? Or is this one of those things where I shouldn’t listen to people laughing about the situation?,"
You should not do so because even though walking past an ark doesn' t pose any halachic problem when done correctly; many Poskim have written that doing such causes disrespect for Chazal.</see>","
It is not halachically required but it’s appropriate to be stringent. This stringency only applies if your back is directly facing the Aron. It also only applies when leaving the shul, not when moving within the shul. If one wishes to be stringent even when moving around, it should only be done when directly in the line of the Aron and only within 4 Amos of it.
Regardless, you certainly shouldn’t do something which stands out and appears strange."
" How can I practice Shechita without violating Bal Tashchis?
When learning shechita, shochtim must learn to hold and properly shecht the animal or bird. The first few cannot be eaten due to kashrus issues. Is it Mutar to practice with the intent of throwing out the birds? If it is Mutar, is there a limit how many birds may be used for practice?","
The issue herein relates not only on whether one should throw away these animals which were intended as food but also about what would happen if he did so inadvertently.</s> ואילך – In this case where no harm was done since they will eventually end up being thrown anyway – some authorities allow doing that while others forbid such actions even when unintentional because we might assume otherwise intentionally threw them aside instead</a>. However most posekim require proper supervision during training period lest an actual act takes place through mistake; furthermore all other precautions have been taken into account beforehand including ensuring quality control throughout production process etc., though again depending upon specific circumstances particular guidelines apply regarding minimum standards required at each stage prior approval given by local Rabbinical authority concerned parties involved directly within respective community(ies). It’d suffice saying generally speaking although general consensus allows practicing slaughtering techniques amongst individuals who","
It is asur to make a bird a Neveila and certainly not with the intention of throwing it out, as it is Bal Tashchis, destroying something which is useful. An exception would be if a Neveila is worth the same as a kosher bird.
Practically, you should practice in a non-Jewish plant where both are worth the same for them."
