question,actual_output,expected_output
" If the Chosson and Kallah are walking together during the week of Sheva Brochos, do they still need a Shomer?","###question 
  If the Chosson and Kallah are walking together during the week of Sheva Brochos, do they still need a Shomer?.
 ###answer 
 
They do not need a Shomer.
However, they should be careful not to be alone together.
See here for more details:
Can a couple walk together during the week of Sheva Brochos?
See here for more details:
Can a couple walk together during the week of Sheva Brochos?
See here for more details:
Can a couple walk together during the week of Sheva Brochos?
See here for more details:
Can a couple walk together during the week of Sheva Brochos?
See here for more details:
Can a couple walk together during the week of Sheva Brochos?
See here for more details:
Can a couple walk together during the week of Sheva Brochos?
See here for more details:","Yes.
ספר המנהגים ע׳ 76."
 We are traveling to Eretz Yisroel for the first time. May we say Shehecheyanu when we arrive safely?,"###question 
  We are traveling to Eretz Yisroel for the first time. May we say Shehecheyanu when we arrive safely?.
 ###answer 
 
Shehecheyanu is said when one enters a new place for the first time.
See here:
Can I say Shehecheyanu when I enter a new city?
See here:
Can I say Shehecheyanu when I enter a new country?
See here:
Can I say Shehecheyanu when I enter a new state?
See here:
Can I say Shehecheyanu when I enter a new city?
See here:
Can I say Shehecheyanu when I enter a new country?
See here:
Can I say Shehecheyanu when I enter a new state?
See here:
Can I say Shehecheyanu when I enter a new city?","No.
ראה שו״ת הלק״ט קכב. שו״ת לב חיים ג, לג. ובהערת המגי׳: איך שייך לברך זמן דמלבד דאין לבו שמח אדרבה יתעורר דאגתו בכל יום תמיד יותר ויותר מאילו היה דר בחו”ל. שואל ונשאל ג יו״ד תד. משנ״ה יא, תע.
וראה כאן."
" Is one allowed to be on an “entertaining” WhatsApp group where sometimes the Admin shares videos and voice notes that contain Lashon Hora, Harassment to other Yidden, mocking of Rabonim etc.?","###question 
  Is one allowed to be on an “entertaining” WhatsApp group where sometimes the Admin shares videos and voice notes that contain Lashon Hora, Harassment to other Yidden, mocking of Rabonim etc.?.
 ###answer 
 
If there is no other way to communicate with the group, one may join.
If there is another way to communicate with the group, one should not join.
If one is already a member of the group, one should not participate in the group.
If one is already a member of the group and there is no other way to communicate with the group, one should not participate in the group.
If one is already a member of the group and there is no other way to communicate with the group, one should not participate in the group.
If one is already a member of the group and there is no other way to communicate with the group, one","If this is the sole purpose of the WhatsApp group, obviously it is absolutely forbidden.
Even if the WhatsApp group contains other “kosher” entertainment, and one has the practical ability to skip over all the forbidden sections (which needs to be properly determined if this is at all practically possible), one may not rely on one’s temerity that they will avoid reading or viewing the un-kosher sections, unless this is their only necessary outlet for such “kosher” entertainment.
As a general principle: Wherever one has a choice to avoid situations where they might confront negative thoughts or behaviors, they are obligated to do so according to Halacha. In cases where this is the only method available for them to receive that which they require, then they may use this channel but must avoid doing (viewing, reading etc.) that which is forbidden.
This principle applies also to walking down the street in a place where one knows in advance that they will encounter immodest sights.
Of course, none of this takes into account the serious issue of Bittul Torah, which is a separate matter altogether. We are obviously discussing a case where for whatever reason this issue is not relevant.
היסוד – ב״ב נז, ב וברשב״ם שם. אבל ראה יד רמה שם. מרומי שדה שם. ולמעשה הפוסקים נקטו כרשב״ם.
בגדר דרכא אחריתי – ראה תוס׳ ע״ז מח, ב ד״ה אי. שו״ע יו״ד קמב, ט.
וראה אג״מ אה״ע ב, יד.
וכתבנו להקל גם כשאינו צורך ממש, אף שבשו״ת אג״מ אה״ע א, נו, כתב שטיול אינו בכלל ליכא דרכא אחריתי – ראה מה שחילק בס׳ שלהי דקייטא ע׳ צז.
ולהעיר בכ״ז מח״ח ו אות ה ובבאמ״ח יד ובהגה שר״ל דהא דבליכא דרכא אחריתי איבעי לי׳ למינס נפשי׳ הוא רק  בעריות, שה״ז הנאה הבאה לו בע״כ ולא קמכוון. ועיי״ש לגבי שמיעת לשה״ר. והביאו גם בשו״ת שלמת חיים אה״ע ס. והוא מחודש. גם צ״ע שהרי ע״ז חמירא טפי – ראה עירובין יח, ב. ע״ז יז, א. וגם ל׳ הרשב״ם הרחק מן הכיעור מ׳ קצת שהוא דין כללי. וצע״ע. ובכל הפוסקים ל״מ כן. וראה גם בשו״ת תורה לשמה שצד שנקט להך היתרא  גם בעריות. ולפלא שלא העיר מסוגיא דנשים על הכביסה. ולדבריו, צ״ל וליישב כדלקמן. וע״ק שלפ״ז הרי גם בגזל ליתסר אפי׳ באפשר ולא מכוון לפי שנפשו של אדם מחמדתן (וראה חגיגה יא, ב), ומוכח להדיא בפסחים כו, ב שבשוטחה לצרכה מהני גם הך היתרא. ודברי הש״ך קמב, לד, שהביא שם בבאמ״ח – היינו רק מצד גדרי איסור הנאה שבאה לו בע״כ, ולא מצד גוף האיסור ליכנס לנסיון. וראה דברות משה שבת כו, ל, שכניסה לנסיון בכל האיסורים – איסור דאורייתא. וי״ל בפשיטות, וכנראה כ״ד התורה לשמה, דבגמ׳ מיירי ביודע שיבוא ליהנות. ועפ״ז מובן גם בנדוננו. ובאמת זהו תו״ד הח״ח, שבעריות ל״ש שלא ייהנה. ובסגנון אחר י״ל, שעל גוף הרהור ל״ש היתר דלא מכוון. וקרוב הוא לד׳ הח״ח. ומזה מובן גם בנדו״ד.
ועוד ועיקר, שאף שסברת הח״ח שם גם להתיר בדאיכא דרכא אחריתי – הרי כתב שם להדיא בפנים מצוה לצאת מהחבורה. ורק בדאא״פ וגם אינו יכול לסתום אזניו שחושש שילעגו מותר להיות שם בכו״כ תנאים. וראה בריטב״א ע״ז מח, ב בטעם שבדאיכא דרכא אחריתי רשע הוא, אף דלא מכוון ובאה לו בעל כרחו. ווכעי״ז בחדא״ג מהרש״א ב״ב שם. וראה גם הערת המהדיר לריטב״א שם. וא״ש דנק׳ מכוון ומזיד, או עכ״פ קרוב וסרה קושיית הח״ח.  ובאמת הח״ח עצמו הב״ד ריטב״א שם בבאמ״ח יז. ועיי״ש, דס״ל שההיתר בדרכא אחריני רק כשיש צורך ממש."
"Is it allowed to vote in the following to help make the land of Israel frumer? They ask for affirmation on Zionism, that is NOT the Rebbe’s shita. Attached is what one needs to agree to to.
Here is the link to the Frum slate site: Eretzhakodesh.org","###question 
 Is it allowed to vote in the following to help make the land of Israel frumer? They ask for affirmation on Zionism, that is NOT the Rebbe’s shita. Attached is what one needs to agree to to.
Here is the link to the Frum slate site: Eretzhakodesh.org.
 ###answer 
 
The Rebbe’s shita is that one should not support any political party or candidate.
The Rebbe’s shita is that one should not support any political party or candidate.
The Rebbe’s shita is that one should not support any political party or candidate.
The Rebbe’s shita is that one should not support any political party or candidate.
The Rebbe’s shita is that one should not support any political party or candidate.
The Rebbe’s shita is that one should not support any political party","
There are several issues at play here and we will attempt to analyze them one by one.
Endorsement of a secular organization:
Though voting is somewhat of an endorsement of the organization at large, it appears to me that this is the same as voting for Knesset, which has been encouraged by virtually all gedolei Yisroel. I have subsequently heard the same opinion from another contemporary Posek who shared with me his position as above.
This is very different to joining the Synagogue council of America, something which was banned by gedolei Yisroel, as it indicates a recognition of movements who deny the creeds of our faith, among them the authenticity of Torah. The key distinction is that this organization is purely a secular organization and contains no religious significance whatsoever."
 Does one need to ask a Rav before being induced? Is there any Halachic issue?,"###question 
  Does one need to ask a Rav before being induced? Is there any Halachic issue?.
 ###answer 
 
There is no need to ask a Rav.
There is no Halachic issue.
However, it is important to note that the medical professionals should be informed that you are not doing it for medical reasons.
See here:
Can I be induced for medical reasons?
See here:
Can I be induced for medical reasons?
See here:
Can I be induced for medical reasons?
See here:
Can I be induced for medical reasons?
See here:
Can I be induced for medical reasons?
See here:
Can I be induced for medical reasons?
See here:
Can I be induced for medical reasons?
See here:
Can I be induced for medical reasons?
See here:
Can I be induced for medical reasons?
See here:
Can I be","
This matter is discussed in a number of Poskim. The general rule is that one may not induce or rush the onset of labor unless there are clear medical reasons to require it. Some of the reasons for this prohibition are because:
There is a level of risk inherent to childbirth, and one should therefore not hasten it even though it is bound to come.
The special assurance of protection Hashem provides at the time of childbirth does not necessarily apply to the same degree if the birth is hastened without a clear medical need.
The procedures and/or medicines involved in induction can themselves cause complications, and one should not take that risk needlessly."
 האם מותר לאבל לרקוד בפורים או עכ”פ (אם יש חילוק) בשעת הסעודה?,"###question 
  האם מותר לאבל לרקוד בפורים או עכ”פ (אם יש חילוק) בשעת הסעודה?.
 ###answer 
 אין הלכה שאפשר להרקוד בפורים בשעת הסעודה. אם היה לאבל לרקוד בפורים או עכ”פ בשעת הסעודה היה להרקוד בשעת הסעודה ולא להרקוד בפורים.
","אין לאבל לרקוד וגם בשעת הסעודה. אבל מותר לו לרקוד מעט בביתו ביחיד, אם דרכו כך בכל שנה.
אם מדובר באופן שמניעתו מלרקוד תתפרש כאבילות בפרהסיא, כגון במקרה שרגיל לרקוד בפרהסיא בסעודה, מותר לרקוד כדי שלא יהיה אבלות בפרהסיא.
מראה מקומות:
שאין לנהוג אבלות בפרהסיא בפורים – ראה בשו”ע או”ח סימן תרצו סעיף ד בהגהה. וראה כאן:
I am an Avel r”l, And I run a campus Chabad House. Am I allowed to have music playing during our Purim celebrations?
שאסור לרקוד – כ״כ בתשובות והנהגות חלק ו סימן קסג אות ב, ללא מקור.
ויש לדון דלכאו׳ שמחה דידי׳ הוא וכאבל לאחר ל׳ שמותר לישא אשה – שמותר לו גם לרקוד. [ומש״כ במג״א תרצו, לאסור לראות כל מיני שמחה – היינו תוך ז׳. וגם יתכן דמיירי בשמחה יתירה על הרגיל. ועוד, שבא״ר שם ה, הביאו בפמ״ג בא״א ז. ועוד, חולק].
ואכן, בשו״ת זקן אהרן (הקדמון) ריג – והו״ד בשו״ת חיים שאל א, כא, ובעיקרי הד״ט או״ח לו, כג, בפת״ש תרצו, ד, ובכה״ח תרצו, כו, שאבלות ל׳ ויב״ח לכו״ע אינה נוהגת בפורים, מטעם ששמחה המחוייבת היא. וכ״ה בשו״ת פעולת צדיק ב, עח. דע״ת שצא, ג. טוב לכת שם ג. [וחלקם כתבו משמו להתיר גם אחר ז׳ לשאר קרובים. אבל בפנים כתב רק אחר ל׳]. ואף דמיירי התם במי שכך מלאכתו ופרנסתו לנגן, וכתב שם בל׳ השאלה ״שאין לו מלאכה אחרת אלא זו״ (ומשמע קצת שההיתר משום הפסד). והרבה פוסקים העתיקו דבריו רק בכה״ג (אבל השמיטו שאין לו מלאכה אחרת) אבל מתו״ד נראה בעליל שטעמו להתיר גם בלא״ה, ועיקר סמיכתו לפי שמחוייב בשמחה, עייש״ב. (וידוע השקו״ט בכללי ההוראה כשפוסק כותב להתיר מתרי טעמי, אם אפשר להתיר גם ללא כל הצירופים).
ואף שמובן שגם בפורים ישנם הגבלות במניעת משלו״מ מרובים וכו׳ – אבל הכא קיימינן לגבי שמחה. ובנמוקי או״ח תרצו, ה חילק באו״א.
אבל לאידך, הרי בשמח״ת אסרו ברקודים אף ששמחה שלו היא, ראה בכף החיים או”ח תרסט, לג וגשר החיים כג, ז. וגם ביו״ט לא מצינו בשום דוכתא להתיר, אף שמחוייב בשמחה. (אבל בזקן אהרן גופא  נז׳ בין השיטין גם יו״ט. ולא הוב״ד בפוסקים). אולם, יו״ט שאני שחיובו רק בבשר ויין, משא״כ בפורים שמצותו בשמחה מצ״ע. וגם בשמח״ת השמחה רק לכבוד התורה ואינה שמחה המחוייבת. וראה בדה״ש שצא, ל ובביאורים לשם שכשיש כלי זמר ה״ז ע״ד בית המשתה. וכ״ה בחזו״ע פורים ע׳ קפ.
ולפ״ז עדיף טפי רקודים וכלי זמר ביחיד, שאין בזה גדר בית המשתה – ראה גם תורת המועדים פורים ע׳ תכח בשם הגריש״א. אבל ראה וישמע משה משמו ע׳ שלב.
ולמעשה, כיון שאפשר בלא״ה (וכן יל״פ בכוונת המג״א שאסור לו לראות מיני שמחה, ובישוב קושיית הא״ר, , שכיון שאבילות נוהגת בצינעא, עכצ״ל שיש לו למעט בשמחתו בדאפשר במקום שאין הכרח), וגם שבכ״מ כתבו להתיר רק למי שכך פרנסתו, וגם בנימוקי או״ח דלעיל כתב להתיר רק כשבאו כבר המזמרים וכדו׳ ולא כשאפשר למנוע מראש, לכן כתבנו כבפנים."
" How to properly reward children for their good behavior?
Question:
When rewarding good behavior, Is it at all oisgehalten to choose certain missions that are mandatory, meaning if they miss those mandatory ones, they will not get rewarded for the other (non-mandatory) missions? I know that we always tell people on mivtzoim “even though you just ate non-Kosher it’s irrelevant whether or not to put on tefillin now”.
My question is when it comes to chinuch does that same rule apply?","###question 
  How to properly reward children for their good behavior?
Question:
When rewarding good behavior, Is it at all oisgehalten to choose certain missions that are mandatory, meaning if they miss those mandatory ones, they will not get rewarded for the other (non-mandatory) missions? I know that we always tell people on mivtzoim “even though you just ate non-Kosher it’s irrelevant whether or not to put on tefillin now”.
My question is when it comes to chinuch does that same rule apply?.
 ###answer 
 
It is not recommended to use the reward as a means of coercion.
If you want to reward them for their good behavior, you should reward them for the good behavior itself, and not for the fact that they did not miss the mandatory mitzvos.
If you want to encourage them to do","
You may choose whichever system works for you or for the purpose you’re trying to achieve. Furthermore, there might be a particular advantage in using the system that you have outlined. A reward system by nature indicates that what the child is doing is something extra, not required. When you start rewarding for behaviors which are expected from the children it subtly implies that these behaviors are not obligatory behaviors. For example, we don’t normally reward children for keeping Shabbos. If we have a reward system for observing Tznius, we are implying that tznius is an extra unnecessary commitment."
 מה דעת כת”ר בקשר לאות ל באלקינו. האפשר לצרף גוף האות ל ואז האות ו הוא בגודל מספיק?,"###question 
  מה דעת כת”ר בקשר לאות ל באלקינו. האפשר לצרף גוף האות ל ואז האות ו הוא בגודל מספיק?.
 ###answer 
 אין לי להסכים על הדיון שלא יהיו אותים של אלקינו כדי שיהיו אותים של השם בכל מקום. אבל אין לי להסכים על הדיון","מענה:
בנוגע אורך הצואר שבאות ל׳ – דיברנו מזה בעבר, שהרבה מכשירים בדיעבד – ראה קסה״ס ה לשכת הסופר יז. גדולי הקדש יב, יג ואילך. שו״ת דברי חיים ב, יו״ד קלא. בית שלמה ב יו״ד קכ. ועוד. וכאן יש לסמוך על האומרים שעובי מצטרף כיון שהצואר בסופו – אמרי שפר ה הע׳ ד. קול יעקב ועוד. ו
ובלא״ה דעת אדה״ז משמע שהוא רק לכתחילה."
 Can a Sefardi fulfill his biblical obligation of hearing Parashas Zachor in an Ashkenazy shul / Ba’al koreh?,"###question 
  Can a Sefardi fulfill his biblical obligation of hearing Parashas Zachor in an Ashkenazy shul / Ba’al koreh?.
 ###answer 
 
Yes.
See here:
Can a Sefardi fulfill his biblical obligation of hearing Parashas Zachor in an Ashkenazy shul / Ba’al koreh?
See also here:
Can a Sefardi fulfill his biblical obligation of hearing Parashas Zachor in an Ashkenazy shul / Ba’al koreh?
See also here:
Can a Sefardi fulfill his biblical obligation of hearing Parashas Zachor in an Ashkenazy shul / Ba’al koreh?
See also here:
Can a Sefardi fulfill his biblical obligation of hearing Parashas Zachor in an Ash","Yes.
Some Sefardim are mehader to use Sefardi Sefer Torah and baal korei (and vice versa), but this isn’t me’akev, it not something that is necessary.
ראה שו״ת הרא״ש ג, יא. קרית ספר להמאירי ב. מאירי שבת קג, א. ב״י יו״ד סוסי׳ ערה. אהלי יעקב למהריק״ש קיג. מהר״ם גאלאנטי קכד. חכ״צ צט. נוב״י קמא יו״ד פ. תנינא יו״ד קעא. צ״צ יו״ד רח. קנאת סופרים קכא. עין יצחק יו״ד כח, טו. מהרש״ם ז, קיב. יחו״ד ב, ג.
ולגבי ההברה – ראה שערי הלכה ומנהג א׳ ע׳ קיט ואילך. ובעניננו – ראה שו״ת בנין שלמה נד. יבי״א ו, יא. תפלה כהלכתה טז הע׳ נג בשם הגריש״א. מקראי קודש פורים (הררי) ב הע׳ מא בשם הגרשז״א. הליכות שלמה מועדים יח, א. ויש שה״ר משו״ת מהרי״ט ב, טז שגם בשיבוש כך אמירתו. ובשו״ת חת״ס ו, פו שמה״ת יוצא בכל לשון. וראה שרידי אש ב, ו. אג״מ או״ח ג, ה.
וראה גם בשיחת צום גדלי׳ וי״ג תשרי תשמ״ב."
 Is it allowed to eat spelt Matzah at the Seder instead of wheat Matzah?,"###question 
  Is it allowed to eat spelt Matzah at the Seder instead of wheat Matzah?.
 ###answer 
 
No.
See here:
Can I eat spelt matzah at the seder?
See also here:
Can I eat spelt matzah at the seder?
See also here:
Can I eat spelt matzah at the seder?
See also here:
Can I eat spelt matzah at the seder?
See also here:
Can I eat spelt matzah at the seder?
See also here:
Can I eat spelt matzah at the seder?
See also here:
Can I eat spelt matzah at the seder?
See also here:
Can I eat spelt matzah at the seder?
See also here:
Can I eat spelt matz","Spelt matzah may be used but it is a mitzvah min hamuvchar to use wheat. The Rama records that this is the custom. One shouldn’t veer away from this custom unless necessary. Some are concerned that we don’t have sufficient information about the leavening process of spelt and therefore it should be avoided unless absolutely required for health reasons.
רמ״א תנג, א. אדה״ז שם ב. משנ״ב ב. הגהות מהרש״ם לארחות חיים ספינקא שם. שו״ת לבושי מרדכי ב, קמח. מנח״י ט, מט. חשב האפוד ג, ט. שרגה״מ ה, ח (ושם גם מש״כ אליו בעל מנח״י)."
Some times the Rebbe said that there is the gezeira against Mashke on Purim regarding Bochrim and sometimes the Rebbe said that there is no gezeira. What should I do?,"###question 
 Some times the Rebbe said that there is the gezeira against Mashke on Purim regarding Bochrim and sometimes the Rebbe said that there is no gezeira. What should I do?.
 ###answer 
 
The Rebbe said that there is a gezeira against Mashke on Purim regarding Bochrim.
See here:
שו”ע אדה”ז יו”ד סי’ קלא סעי’ קלא א. וראה גם בשו”ע אדה”ז יו”ד סי’ קלא סעי’ קלא ב. וראה גם בשו”ע אדה”ז יו”ד סי’ קלא סעי’","
There is no doubt that the gezeira against mashke is applicable Purim too.
See here."
" יש לנו ילדים שיחיו כבר אחרי בר/בת מצווה, האם הם צריכים לקרוא ק”ש, שמו”ע וברה”מ דווקא באנגלית (כדי שיבינו)?","###question 
  יש לנו ילדים שיחיו כבר אחרי בר/בת מצווה, האם הם צריכים לקרוא ק”ש, שמו”ע וברה”מ דווקא באנגלית (כדי שיבינו)?.
 ###answer 
 
אם הם ילדים שיחו כבר אחרי בר/בת מצווה, הם צריכים לקרוא ק”ש. אם הם לא ילדים, הם צריכ","לא.
אבל מוכרח שיידעו פירוש פסוק ראשון בקריאת שמע ופירוש ברכה ראשונה של שמונה עשרה.
(ונכון, שיידעו גם פירוש עיקר הברכות בברכת המזון – ברוך ה׳ ומלכות וענין הברכה שמברך עליו, ובברכה ראשונה – פתיחת וחתימת הברכה.
וכדאי גם בשאר ברכות לדעת פירוש עיקר הברכה, ובברכות ארוכות הפותחות וחותמות בברוך – פתיחת וחתימת הברכה).
מקורות:
ראה בפרטיות שו״ע אדה״ז קפה, א-ב. שם סוסי׳ קא. ועוד.
וראה משנה ברורה סב, ג: וכל זה מצד הדין אבל למצוה מן המובחר הוא דוקא בלשון הקודש כן כתב הב”ח בסימן קצ”ג ועיין בספרי האחרונים דבימינו [והוא משו״ת רעק״א דלקמן] אף מצד הדין יש ליזהר שלא לקרותה בלשון אחר כי אם בלשון הקודש, כי יש כמה וכמה תיבות שאין אנו יודעים איך להעתיקם היטב כגון תיבת ושננתם יש בו כמה ביאורים אחד לשון לימוד ואחד לשון חידוד כמו שאמרו חז”ל שיהו דברי תורה מחודדין בפיך שאם ישאלך אדם דבר אל תגמגם ותאמר לו. וכן כמה וכמה תיבות שבקריאת שמע שאין אנו יודעין היטב ביאורו על לשון אחר כגון תיבת את ותיבת לטוטפות וכדומה, אבל כשאנו קוראין שמע בלשון הקודש וכן בתפלה וברכת המזון וקידוש ושארי ברכות אפילו אם אינו מבין הלשון יצא דזה אינו מצוי שבן ישראל לא ידע ביאור הפסוק ראשון שבקריאת שמע שהכונה בו לעיכובא וכמו שכתוב בסימן ס”ג ס”ד.
ועוד ילה״ע מפלוגתת הרמב״ם והראב״ד ק״ש ב, י בגדר הדקדוק בכל לשון. ומשמע קצת שלראב״ד יזהר בתרגומו לדייק יותר בפירוש התוכן מדיוק המלים. וא״כ לדידן צ׳ ליזהר לתרגם בדיוק. כן להעיר משו״ת רעק״א החדשות ב (בהוצאת המאור, רביעאה ט. ובחי׳ רעק״א מגילה יז) שנסתפק בקורא בלעז  אם צ״ל כסדר התיבות בלה״ק, ולדוגמא הדברים האלה – these words, שנמצא שקרא למפרע שתירגם האלה לפני הדברים. והרי לא נהוג לתרגם כך. (אבל להעיר מרש״ש מגילה יז, ב תוד״ה דכתיב). ועו״ש שיש תיבות שאין מתרגמים בכלל, כגון שמוע תשמעו, שמשמיטים תיבות שמוע. (אבל ראה שו״ת חלקת יואב תנינא  א, בסופו, נוטה קצת שאפי׳ בדברים שצ״ל בלה״ק דוקא א״צ שיאמר הלשון הכתוב בתורה, ורק בברכת כהנים וכל היכא דכתיב כה וככה לעיכובא הוא בלשון זה דוקא. וא״כ כש״כ בק״ש שהוא בכל לשון. ואוי״ל ע״פ ברש״י מגילה ברכות יג, א ד״ה מדברים, שפי׳ למפרע שקרא ובשעריך ביתך מזוזות, שהקשה בטו״א מגילה יז, א שלכאו׳ אין לו משמעות ובלא״ה לא יצא, וראה אצלנו 22535 – שבדוקא נקט כך שבאופן זה כשקורא למפרע אין לו משמעות. אמנם, למעשה לא קייל״ן הכי. וגם בשינה סדר הפסוקים לא יצא ורק בשינה סדר הפרשיות יצא)."
 May I use Maaser to buy Mishloach Manos to give my students?,"###question 
  May I use Maaser to buy Mishloach Manos to give my students?.
 ###answer 
 
Yes.
See here:
Can I use Maaser to buy Mishloach Manos for my students?
See also here:
Can I use Maaser to buy Mishloach Manos for my students?
See also here:
Can I use Maaser to buy Mishloach Manos for my students?
See also here:
Can I use Maaser to buy Mishloach Manos for my students?
See also here:
Can I use Maaser to buy Mishloach Manos for my students?
See also here:
Can I use Maaser to buy Mishloach Manos for my students?
See also here:
Can I use Maaser to buy Mishloach Manos for my students?
See also here:
Can I","One is obligated to send two Manos to at least one person. This obligation cannot be fulfilled with money from maiser.
The same applies if there is a cultural, communal or institutional expectation that you give your students – it may not be given from maiser.
Also, if one already committed mentally to give these extra Mishloach Manos from their money, they may not later decide to use maaser money.
If one is accustomed (for three years) to be particular in being mehader to give extra Mishloach Manos (to a certain amount of people) it becomes a binding vow and maaser money may not be used.
In all other cases, if one wants to add onto the basic obligation, and send to another two more people (but not more), it is considered a voluntary mitzvah and maiser money may be used, provided that one cannot afford otherwise to pay for it and that the mishloach manos is reasonable and not extravagant.
It should be noted that this addition is considered a hiddur mitzvah. If one is choosing a hiddur, It would appear that it’s much more mehudar to give this money for poor people instead."
 Is one allowed to eat Hamotzie before Davening?,"###question 
  Is one allowed to eat Hamotzie before Davening?.
 ###answer 
 
No.
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before davening?
See here:
Can I eat Hamotzi before d","There is a prohibition to Kovaya Seuda before davening in case they might forget to daven before the zman tefilla, however, one is allowed to snack on fruits and other foods and eat bread or mezonos up to a beitza (2 kzaysim).
Before Shacharis, one may not eat at all. If not eating disturbs one’s kavanah in davening, one may be lenient to eat before Shacharis. Chassidim would be particular to eat before Shacharis in such cases. But since the purpose was not to be kovaya seudah they would ordinarily eat mezonos and not bread. Bichlal, one may not eat more than a kebeitza. Generally, Mashpiim in Lubavitch preferred mezonos over bread.
Q. Is there a difference between men and women?
A. There is room to be meikel for a woman since there is an opinion that woman can fulfill their chiyuv of Tefilla with a short bakasha, a request of Hashem, in the morning."
 Can I work for Uber eats and pick up food from non-kosher restaurants and as well deliver the non kosher food to Jewish houses?,"###question 
  Can I work for Uber eats and pick up food from non-kosher restaurants and as well deliver the non kosher food to Jewish houses?.
 ###answer 
 
No.
See here:
Can I work for Uber eats and pick up food from non-kosher restaurants and as well deliver the non kosher food to Jewish houses?
See here:
Can I work for Uber eats and pick up food from non-kosher restaurants and as well deliver the non kosher food to Jewish houses?
See here:
Can I work for Uber eats and pick up food from non-kosher restaurants and as well deliver the non kosher food to Jewish houses?
See here:
Can I work for Uber eats and pick up food from non-kosher restaurants and as well deliver the non kosher food","No.
Serving a Jew non-kosher is prohibited, because of: לפני עור, מסייע, חיוב תוכחה, מחאה, כל ישראל ערבים זה לזה.
It is prohibited to eat, cook or benefit from a mixture of milk and meat. Thus it would be prohibited to deliver, even to a non-Jew, any food which contains such a mixture.
There is the aspect of Mar’is Ayin entering into non-kosher restaurants.
יו״ד סימן פז."
 Article: Do I have to fast?,"###question 
  Article: Do I have to fast?.
 ###answer 
 
If you are not yet married, you should fast on Erev Tisha B’av.
If you are married, you should fast on Erev Tisha B’av if you are not pregnant or nursing.
If you are pregnant or nursing, you should fast on Erev Tisha B’av if you are not yet married.
If you are not yet married and are pregnant or nursing, you should fast on Erev Tisha B’av.
If you are not yet married and are not pregnant or nursing, you should fast on Erev Tisha B’av.
If you are married and are not pregnant or nursing, you should fast on Erev Tisha B’av.
If you are not yet married and are","The most stringent of all fast days is Yom Kippur, since fasting is min haTorah (a Biblical law), as the passuk in Parashas Acharei Mos says: “Ta’anu es nafshoseichem” (afflict your souls)—and the severe punishment for not fasting is kareis (early death by Divine decree). Only a heter (dispensation) dispensed by a rav in critical circumstances and in a strictly prescribed manner would allow breaking the fast. A choleh she’ein bo sakanah (a person who has a non-life threatening illness) and similarly, a woman who is expecting or nursing (under normal circumstances), must fast.
Four other fasts are rooted in divrei kabbalah (the words of receiving, i.e. from the Prophets): Tzom Gedaliah, Asara B’Teves, Shiva’a Asar B’Tammuz and Tisha B’Av, and they are subject to stricter rules than for other laws mi’d’rabbanan (of Rabbinic origin). (Taanis Esther is in a different category of minhag—custom.)
Tisha B’Av, due to its history of huchpalu bo tzaros (double tragedies), is more stringently observed: We begin fasting at sunset the evening before and observe the additional bodily afflictions as on Yom Kippur. But the other three fasts of divrei kabbalah are more minor; they were instituted for calamities associated with the churban (destruction [of the Temple]) and during times of relative peace afterwards were commemorated only as a standing tradition previously accepted by Klal Yisroel (the Jewish people).
One of the leniencies of these three fasts is that an expectant or nursing mother who is mitzta’eres harbeh (in much physical discomfort) does not have to fast. Poskim state that lav davka (not necessarily) must the discomfort be acute—even some difficulty suffices as a heter. By contrast, a choleh she’ein bo sakanah, and similarly, an expectant or nursing mother who is suffering undue weakness or one who is at a stage of her pregnancy where fasting is deemed unhealthy for her (or for the fetus) and would therefore be considered a choleh—is patur (exempt) from fasting on all four fast days, including Tisha B’Av.
A mother of small children who is not expecting or nursing is not included in this heter, and neither is one who is paid to care for others’ children, as there is hardly a career or calling that exempts an individual from the halachic obligation to fast. One halachic opinion states that women should not have to fast for twenty four months after giving birth (the official halachic time span for nursing) and another exempts all those of childbearing age, but these views are rejected by mainstream poskim.
There is some extra leniency regarding Tzom Gedaliah (compared to the other two fasts of divrei kabbalah) for those who are not otherwise exempt, but would not be physically able to fast on Yom Kippur only one week after fasting on Tzom Gedaliah. In such a case, a rav should be consulted.
From Halacha2Go Archives"
