question,actual_output,expected_output
"If a person cannot drink alcohol, what recommendations are there for them to fulfill the mitzvah of עד ולא ידע so that it affects their body on Purim?","
There is no need in this case. If they can’t do something because they wonןt be able or will not feel anything then its fine.
It’s also possible and recommended if you want as much effect like drinking wine but without getting drunk – try some other beverages such at grape juice etc… Or even better buy small bottles from different places which have more flavoring with less amount than regular ones
Also one may make an effort especially when eating meat where he doesn’thave any","
In this case, they’re exempt from the literal interpretation of עד דלא ידע. However, it should be noted that the Rebbe asked that Bachurim under 40 fulfill this mitzvah through “true wine”, the wine of Torah. In Sefer Hamamorim 5679 the Rebbe Rashab explains that עד דלא ידע is fulfilled through the soul enjoying Pnimiyus HaTorah and through a tremendous love to Hashem, אהבה בתענוגים. In Igros Kodesh vol. III p. 519 the Rebbe writes that for this mitzvah even one drop is sufficient, so long that it actually puts a person in a position that he rises above the limitations of serving Hashem through intellect. The Rebbe continues that if one really wants to act this way even one drop is sufficient and if chas vshalom someone doesn’t want even a full barrel won’t help.
See also:
What is the practical approach towards getting drunk on Purim?"
" If I’m reading Megillah and a nearby Minyan is saying Kedusha, what should I do?","
You may continue with your own Shul’s Nusach. However if you’re in Yeshiva or other places where one usually follows along after they hear “Kadosh” – then it would be proper for them not say anything until everyone has finished their Brocha.
See here: http://www.asktherav.com/2013-02/megillas-eicha-in-a-minian/
ראה גם בתשו’ייט שנד","Q. Can one be yotze Megillah if there are other minyanim and they are saying Kedusha etc.?
A. If you make sure to hear every single word, though it could be quite difficult and this setup is not recommended.
Q. So does that mean that if I do hear a Kaddish or something else I need not answer it?
A. The halachos for answering are the same as during birchos krias shema, i.e. you should only answer אמן יהא שמיה רבא, דאמירן בעלמא, קדוש ברוך ימלוך, etc.
This applies only if you are reading the megillah.
If you’re hearing the megillah and the reader is not stopping you shouldn’t stop to answer, unless you have a kosher megillah where you can catch up afterwards and read what you missed while answering and it won’t disturb you from listening properly."
 Can I get a haircut on Taanis Esther?,"
Yes. However one should take care not make it seem like he’s doing so for Purim.
שו”ע אדה״ב תניא ב:י – הלא מוכרח למת’ ש – “…(I.e., if someone is about something that will bring him joy or benefit), but this must be done without any appearance of rejoicing.” And see there in similar places and also here too with regards Tashm",Yes.
" Does a Ger say the Nasi? What about women? If yes, is there any change of wording?","
The custom in many places for men and certainly among some Chassidim that they do not recite it. Women may be included with this practice.
If one does choose to have them participate then you can use their name instead but without adding “Nosi”. For example: יהי שם ה’ מברוך במשיחו לעד – אנא־לחת” as opposed saying yehi shem Hashems","Women and geirim may both say it too. Same wording.
ולהעיר מסה״ש תש״נ ח״ב ע׳ 393 הע׳ 7."
" If I forget to say Yaaleh Veyavo, when should I repeat Shmone Esrei?
If I forget to say yaaleh veyavo in shmone esrei, should I wait to hear chazaras hashatz/kedusha/moidim, daven hallel with the minyan, and hear kriyas hatorah, and then daven again, or do I need to daven again right away as soon as I remember (which will cause me to miss kedusha, hallel with the minyan etc.)?","
You can recite it immediately after you realize that’s what happened. However if there is time before shachris one may prefer not be late for Chazara Hashem.
ראה סי’ שו”ע אדם הלומין במשנת מחב“ ל-6:4 –  “And even though he must go out of his way [to fulfill] this Mitzvoh…he would still have some room","
You may wait and daven again Shemone Esrai later. However, you shouldn’t interrupt with idle talk."
" When you see a rainbow, are you allowed to point it out to others?
Question Continued:
If not – why? Can you tell others about it later on, when it’s not there anymore?","
Yes.
ראה ע׳ שישי בתשובו למענ”ב. מחל הד’ א: “…and even if they won’t be able in this world”. See also here.
See more questions and answers at our Q&A section. If your query is of an urgent nature or time sensitive that requires immediate attention we will do best for prompt response with all due haste! Please feel free contact us directly by email as well","
There are different opinions and customs about this. According to those who forbid, it shouldn’t be mentioned later too and on the contrary – afterwards there is less reason to mention it."
 Do I have to have Kavana by Poseiach Es Yadecha also by the one said before Uvo letziyon and Mincha?,"
The Bracha of “Shalom Aleichem” is not recited with kavanah. The same applies for Shema.
However in regards Tefilas Nisgavim there’s room that it should be done so as well see here: http://www.yutorAH.com/ask/?p=1353
Regarding Hashkivenu we can say yes because this brucha has an aspect שהכל עולמו לשיב","Of course, one has to have kavanah.
But if one didn’t, there is no obligation to repeat it, although it is meritorious to do so (unlike Pesukei D’zimrah where one must repeat this passuk if he did not have kavanah).
Sources
ראה בכ״ז בשו״ע או״ח נא, ז ובנו״כ.
ואקדים ואומר, דהא גופא שד״ז נזכר רק בדיני פסוד״ז מוכיח דלאו כללא הוא בכ״מ. ובפשטות, לא הוו שתקו הפוסקים מלהודיענו ד״ז, בדבר הרגיל ושכיח טובא. והטעם להחילוק, שהרי אעיקרא דמילתא מצינו בראשונים גירסאות שונות בברכות ד, ב, אם צ״ל תהלה לדוד ״ג״פ בכ״י״ או ״בכל יום״ גרידא. (וראה גם גליון הש״ס לרעק״א שם. וראה לקו״ש יח ע׳ 351 הע׳ 2. שם ע׳ 352 בהערות 13-14). ויתר על כן בראבי״ה א, ד, כתב שנהגו לומר ג״פ, אבל בגמ׳ גרסינן רק ״בכל יום״. ואמטו להכי איכא למימר, שלא חייבוהו לחזור רק במקום שאמירתו חובה (או תקנה קדומה עכ״פ). ואפי׳ תימא כגי׳ שאר הראשונים שגרסו ג״פ – הרי עד כאן לא שמענו אלא שמובטח לו שהוא בן עוה״ב, ולא שחובה בדבר. וא״כ איך אפשר לחייבו לחזור בדבר שכל עיקר אמירתו אינו מדינא ממש. ואף שבתר״י ברכות (כג, א בדפי הרי״ף) כשהביא בשם הגאונים שצריך לחזור ולאומרו, קאי אריש דבריו שהביא ל׳ הגמ׳ לאומרו ג״פ – לאו בחדא מחתא מחתינהו. ובשגם שברי״ף שם נמצא הגי׳ שלש פעמים, ובהערה שעה״ג שבדפו״ר ליתא כן. והה״נ בתר״י שאין הכרח שכך גירסתו. (ולכשתימצי לומר, נמצא לפ״ז שבפוסקים שלא הובא תיבות ג״פ משמע שהחזרה עוה״פ היא רק באמירתו בפסוד״ז). ואשכחן טובא, ששינו בספרים והוסיפו וכתבו ״ג״פ בכ״י״ כגי׳ הנפוצה בגמ׳ (ראה גהש״ס שם שציין לטור, ולפנינו הוסיפו בטור. וכן ציין שם לרוקח שכ, אף ששם שכד כתב ג״פ. והמענה בזה, כבראבי״ה שם שאף דל״ג לה בגמ׳ מ״מ במציאות נהגו לאומרו ג״פ. וכבר העירו ממעשה רוקח ר״ה קכד, שכתב שכן הגיהו בברכות, ובספרים ישנים אינו).
ואכתי יל״ע קצת בדבר, שבאר״ח (דיני תחנות ומזמורים שאחר תפלת י״ח ג) כתב בטעם האמירה ג״פ שאם לא כיוון בראשון יכוון באחרונות. וכ״ה באשכול (מהדורת אוירבאך כד – ע׳ נג). וכ״מ בתשו׳ ר״ג גאון שם, במש״כ שם בטעמא דמילתא שמא יפשע (אבל י״ל שכוונתו שיפשע ולא יאמר כלל, ראה עד״ז בפסקי הרי״ד ובשלה״ג שם. שבה״ל ענין תפלה ז. תניא רבתי ב. ועוד). וראה גם בברכ״י נא, ה בשם תפארת שמואל על הרא״ש ברכות ה, ו. ומשמע קצת דכולהו כחדא נינהו. ואכן בכה״ח שם לג כתב עפ״ז שבלא כיוון בפסוד״ז יש לו תשלומין אח״כ. אבל מדברי שאר הפוסקים נראה ברור דלא ס״ל כוותי׳, ושצריך לחזור ולאומרו ואין לסמוך להשלים אח״כ. ואיהו חשש משום הפסק כדרכו בקודש, ולא קייל״ן הכי. (וראה ישועו״י נא, א). ואיך שיהי׳, אין לנו הכרח שהחיוב לחזור קאי גם אשארא, גם לדעת הראשונים הנ״ל, אא״כ לא כיוון בב״פ הראשונות. (ובדעת כה״ח – ראה להלן). ואדרבה, לדידהו הרי גם בקדמייתא אין חובה לחזור. (ואולי אפשר להשוות הדעות, שגם לדידהו מעיקרא חובה לחזור, אלא שבלא חזר ובדיעבד, אכתי איכא תקנה אחריתי שאומרו אח״כ. וראה שו״ת שבט הקהתי ב, לז). ולאידך, בשאר האמירות ודאי לדעתם א״צ לחזור שיכול לסמוך שכיוון בראשונה. ובכדי שלא לאפושי פלוגתא כולי האי, איכא למימר שלכו״ע בשאר האמירות א״צ לחזור. ובאבודרהם נמי מוכח דלאו מילי סתראי נינהו, שמחד גיסא הביא בטעם האמירה ג״פ מפני שא״א שלא יכוון באחת משלשתן. ובחדא מחתא הביא בשם הגאונים שאם לא כיוון בפותח את ידיך צריך לחזור ולאומרו פעם אחרת. (אבל י״ל ולדחות, שכוונתו לחלק בין הכוונה בכל המזמור, שאא״פ שבא׳ מג׳ הפעמים לא יכוון. אבל בנוגע לפסוק פא״י אין לו לסמוך על שאר האמירות. והה״נ שיל״פ כן בד׳ שאר הראשונים. וממילא גם שלדידהו החובה לחזור עבור פסוק הנ״ל קאי רק בפסוד״ז). ובכל אופן, לדידן ולדינא, ודאי אין כל סרך הוכחה להכריחו לחזור.
ועכ״פ, אפשר ללמוד מדבריהם שלכתחילה עכ״פ עליו לכוון בכולהו. וכ״ה בר״י מלוניל ברכות שם, כל האומר תהל״ד ג״פ בכ״י ובלבד בכוונה. ובכלבו יב: כל האומר תהל״ד ג״פ בכוונה ביום וכו׳. ובמחז״ו א: ומיבעי איניש לכוונא דעתי׳ בתהל״ד דאר״א וכו׳ כל האומר תהל״ד ג״פ בכ״י. ובאמת גם בטור כ״כ. אלא שבטור הוסיפו המדפיסים תיבות ג״פ כנ״ל. ויל״ע אם גירסתם בגמ׳ ג״פ או שגם בזה הוסיפו המדפיסים. (וראה בלקו״ש שם ע׳ 352 הע׳ 12 והע׳ 14, בנוגע לגירסת הכלבו). וראה גם פנ״י ברכות ד, ב בטעם האמירה ג״פ שע״י שיאמר המזמור ג״פ בכוונת הלב תתחזק האמונה.
וכיון שבימינו אין חוזרים בשביל  חסרון כוונה, ורק במקום המוכרח, אף שכאן המדובר בפסוק אחד בלבד, שבקל יוכל לכוון, כמ״ש הפוסקים בטעם שחוזרים בנדו״ד, מ״מ אין לנו להרחיק לכת לחייב לחזור גם בזה, כשכל עיקר אמירתו אינו בהכרח.  וראה גם לקו״ש שם ע׳ 355 הע׳ 35, שעיקר האמירה בפסוד״ז.
ובפרטיות יותר, דבפסוד״ז שאני דאיכא תלתא לטיבותא בטעם האמירה, מצד סידור שבחו של מקום קודם התפלה, ומצד יהא חלקי עם אומרי הלל בכ״י, ומצד אמירת תהלה לדוד ג״פ בכ״י (ראה רי״ף שם. טור או״ח נא. ב״ח שם. שו״ע אדה״ז שם א. אבל ראה פמ״ג בפתיחה לסי׳ מו. וי״ל). אבל באשרי ובלצ״ג איכא רק חד לטיבותא – אמירת תהלה לדוד ג״פ בכ״י, וכן במנחה – נמי רק חד לטיבותא, שהרי אין חיוב לסדר שבחו ש״מ  במנחה (זולת בג׳ ראשונות, ראה גם פמ״ג הנ״ל. וראה לקו״ש שם הע׳ 34), ועיקר טעם האמירה במנחה בכדי לשהות קודם התפלה ולעמוד מתוך ד״ת, כמ״ש הראשונים (ראבי״ה שם. או״ז ק. ועוד. וראה ט״ז קח, ג). אלא שתיקנו אמירת אשרי בדוקא משום מעלת אמירת תהל״ד ג״פ בכ״י – ראה רבינו מנוח ברכות ט, ד. מג״א נא, ז. (אבל ראה ערוה״ש רלד, א. ושו״מ שכ״ה בסי׳ ר״ש מגרמיזא. ומ״מ אכתי ה״ז רק תרתי לטיבותא, ולא משום אמירת הלל בכ״י). ונמצא שחלוקים המה ביסודם ושרשם. ואף דאכתי י״ל שכיון שסו״ס תיקנו במנחה ובאשרי ובלצ״ג לומר תהל״ד, ועיקר אמירתו משום פסוק זה, שוב הדרינן לדינא שצריך לחזור ולאומרו – אין לדמות האמירה כשהוא משום מנהג לעיקר האמירה בפסוד״ז, שהרי פסוד״ז חובה היא, ועיקר פסוד״ז הוא אמירת תהל״ד.
(וראוי להעיר שבכ״מ כתבו גם לחלק, שאמירת פא״י בפסוד״ז הוא דרך שבח, והשאר דרך בקשה, ונימוקם עמם ע״פ זח״ג רכו, א. ושם, שלא להתפלל על הפרנסה עד אחר התפלה. וכן ע״ד הקבלה חלוקים הם בכוונתם. וראה שעה״כ דרושי תפלת השחר יח, א. אבל להעיר שי״א עפ״ז שיותר חיוב תהלה לדוד אחר העמידה מבפסוד״ז – ראה יסוש״ה שער ה, שער הקרבן ט. ועוד. וכ״ה בתולעת יעקב סוד פסוד״ז. ושם, שבב׳ עונות אלו צריך לכוון. ומשמע יתר על כן, שבפסוד״ז א״צ כוונה כלל ועיקר. ובאמת אפשר להעמיס כן בזהר שם שהאמירה לאו בגין חובה. וראה לקוטי לוי״צ שם ב ע׳ תמד. ובהכרח ליישב בדוחק שכוונתו כוונה בדרך בקשה. וכפי שהוא בפי׳ ד׳ הזהר. ובכל אופן, כ״ז אינו ע״ד ההלכה. וראה בזה בלקו״ש שם הע׳ 35. ושם ס״ע 352 החילוק בענין אחר בין אמירתו ע״ד הנגלה לאמירתו ע״פ פנימיות התורה). ואין לנו הכרח לחדש שחובת החזרה קאי גם בשאר דוכתי.
וכמעט שהדבר מפורש בשו״ע אדה״ז קא, א, שהוסיף ״פא״י שבפסוד״ז״ ותיבות ״שבפסוד״ז״ למ״ל. ולכאו׳ אתא לאשמועינן כנ״ל, אף שהדיוק אינו מוכרח לגמרי. והכי דייק נמי בל׳ אדה״ז נא, ח, שהשמיט לענין נדו״ד תיבות ג״פ, אף שהביאם בריש הסימן. וכן שם נה, א. (וג״ז יל״ד. ולהעיר שהושמט גם שם נא, ט, אף שהובא במג״א שם ז, וגם נזכר שם ע״ד האמירה במנחה. וראה מה שביאר בזה בקובץ העו״ב נח ע׳ ז).
ובקצוה״ש כו, ז כתב מד״ע שצריך לחזור ולאומרו גם במנחה. וכ״ה בעוד יוסף חי ויקהל ד. ולא העירו מכל הנ״ל. ואולי דעתם לחלק בין מנחה לאשרי שאחר העמידה, שסו״ס איכא נמי סידור שבחו קודם התפלה, אבל כנ״ל לא זהו טעם התקנה במנחה. ובכה״ח הנ״ל מחד גיסא, נראה דסגי בדיעבד בכוונה בחד מינייהו, דס״ל שבלא כיוון בפסוד״ז סגי לי׳ בשאר האמירות, ולאידך כתב להדיא שבשכח לכוון באשרי שאחר העמידה יחזור לאומרו הואיל ואין שם דין הפסק, ומשמע שלכתחילה צריך לחזור גם בזה. ולפ״ז נמצא שנהפכה הקערה על פי׳, שהכוונה בשאר האמירות חמירא טפי. והוא היפך פשטות ההלכה שעיקר האמירה בפסוד״ז חובה טפי, כנ״ל.
(והנה בחיי״א יח, ב, הביאו במשנ״ב נא, טז, שבנזכר אחר שכבר אמר מזמורים אחרים ואין שהות לחזור יאמר אחר התפלה. ומוכח דס״ל דלא ככה״ח הנ״ל דסגי בכוונה באשרי שאחר העמידה, גם בדיעבד, דהא מיירי כאן כשהוא כבר אחר התפלה (אא״כ ר״ל אחר תפלת העמידה לפני אשרי. ודוחק). ואף שיל״פ בדבריהם דה״ט לפי שהכוונה מעכבת בכולהו, ובכוונה באשרי שלאחר העמידה דיו שיפקיע א״ע – יותר נראה כנ״ל, דס״ל שהכוונה מעכבת דוקא בהאמירה שבפסוד״ז, ואמירה זו היא בשביל עצמה, ולא להשלמת פסוד״ז, ולא משום שגם באמירה זו כוונה מעכבת). והנאני שראיתי כדברינו גם בשו״ת גבעת שאול וואגשאל יט. וכ״כ בדעת יהודה שפירא נא – ע׳ כא. וראה גם קובץ העו״ב בשלח תשע״ו ע׳ 99. אבל ראה תשו׳ הגרח״ק בסו״ס אשי ישראל לה דמספק״ל בזה, וכדרכו. ואין ספיקו מוציא מידי ודאי דהנ״ל."
"May one interrupt between reading shnayim mikra and reading the Haftorah lechatchila, or better not to?
(I.e. just as it is better not to interrupt within the chumash itself so too until after Haftorah)","
It’s definitely permissible.
See here: https://asktherav.com/2015-05-a-tale-of-two-shabbos-goys.html
There was an interesting discussion on this topic in Kuntres Beis Yaakov which I don’t have access right now but can look up later if you need more information about that particular case of what happened with Reb Yosef Karo Zt’l when he became Chabad Lubovitcher Rosh yeshiva etc…).","
One shouldn’t interrupt until finishing the Haftorah.
ראה סידור תפלה למשה להרמ״ק קצב, א. ובשמו – של״ה מס׳ שבת בחלק תורה אור, סוד קריאת שמו״ת (קלח, א)."
" This that Veyiten Lecha must be said with another, must it be read from the same siddur or is that a myth?","
There’s no problem reading Tzitzis together. It should ideally come out of one Haggadah.
ראה תשו״ת מורני הלחים אדמ”ב ב:ע’ ש – ל– (Also see there regarding reciting Shema b’rechov). See also here.
However in this case where you want both parts which involve two people and not just saying tehillim then they need their own",Some sources imply – one Siddur.
" Can a Jew work in a non-Kosher liquor store?
Would there be any Halachic problem for a Torah observant Jew to work in a non kosher liquor store that services Jewish (including many not yet frum) clientele?","
The halacha is lenient regarding this issue. The Rebbe was asked about working as an accountant with wine and beer companies; he said it’s permissible.
This applies also when you will have direct involvement or interaction with these products such at salesperson etc., even if they aren’t on your hands directly – provided one does so without enthusiasm nor excitement over their sale of course… However some poskim hold more stringent views here too which would apply particularly where involved personally whether by being salesman/ cashier","
In regards to serving a Jew these type of beverages, there might be room for leniency depending on the circumstances. If however it involves pouring the client a ‘non kosher’ beverage on the spot for him to taste or drink, it may not be done.
However, the main issue here is handling and benefiting from forbidden beverages and especially wine.
Nevertheless, so long they sell other beverages which are not forbidden to have benefit from and the person handles and receives benefit and pay from these beverages as well, one may be lenient in this particular case."
I’m kind of new in the community and there are people who walk out of the room with their face to the Aron and back to the door. I had someone tell me it’s unnecessary. Do I need to stop this chumra? Or is this one of those things where I shouldn’t listen to people laughing about the situation?,"
This custom was originally done by Chassidim due that they were accustomed not do say Shema when leaving or entering.
The reason for doing so wasn't just because we don\’t make Hashem His name go away from our eyes but also as an expression gratitude towards Him on behalf all Jews at any time while walking through life i.e., even if you have no specific prayer request during your day since every moment spent alive can be considered thankfulness to G-d without asking something specifically","
It is not halachically required but it’s appropriate to be stringent. This stringency only applies if your back is directly facing the Aron. It also only applies when leaving the shul, not when moving within the shul. If one wishes to be stringent even when moving around, it should only be done when directly in the line of the Aron and only within 4 Amos of it.
Regardless, you certainly shouldn’t do something which stands out and appears strange."
" How can I practice Shechita without violating Bal Tashchis?
When learning shechita, shochtim must learn to hold and properly shecht the animal or bird. The first few cannot be eaten due to kashrus issues. Is it Mutar to practice with the intent of throwing out the birds? If it is Mutar, is there a limit how many birds may be used for practice?","
This should not cause any issue in terms that you mentioned.
However one would need permission from his Rebbe before doing this as well as obtaining proper supervision by an experienced Shohet who has knowledge about Kashruth standards regarding what parts constitute “T’reifos” etc… 
Regarding your second point: yes indeed – even if they were Kosher animals/birds but have been slaughtered incorrectly such slaughter does still render them non-Kasher food because their meat/organ’s become treifa","
It is asur to make a bird a Neveila and certainly not with the intention of throwing it out, as it is Bal Tashchis, destroying something which is useful. An exception would be if a Neveila is worth the same as a kosher bird.
Practically, you should practice in a non-Jewish plant where both are worth the same for them."
"I struggle with intrusive thoughts that are negative (to say the least) and become so anxious and worried about how they may affect people and reality-especially when wishing them something not good-when Chas veShalom I would never EVER want that. In general, what are the implications/bearing of the effects of our thoughts? To what extent does thought affect things? In the end of the day everything is up to Hashem no? On one hand we’re told to think good because this can affect the outcome of things and on the other hand we’re told to dismiss thoughts and have hesech hadaas.
While I would like to try to have hesech hadaas and ignore them, the problem is only intensified since I see there are times where that thing actually comes true and very close in timing. This has happened quite a few times. (I am currently working with a frum therapist and we’re not exactly sure how to approach this, as I would like the Emes of the Torah) I’m not sure what to believe and don’t want to live with anxiety of always trying to have positive thoughts/avoid negative ones or the fear of what harm they can cause.
I would appreciate clarification and certainty on how to view and deal with the ramification of our thoughts.
A tremendous thank you and besoros tovos always.","
The Rebbe explains it beautifully: It’s all part of G-ds plan for us! See here http://www.lubavitch.com/news/article.cfm?id=2338
It also says at length elsewhere too… But if your looking just quick summary then yes indeed its an issue – but still under control by hashgacha protis etc., which he will explain later…
Here another example from Likkutei Sichot Volume II page #1347 footnote number three,
","
First and foremost it is most important that you abide by the guidelines your therapist is giving you. Indeed it is a mitzvah in the Torah to look after our health – mental and emotional health is included as well, if not even more important.
It is true that negative thoughts can cause negative effects. However, this only applies for one who chooses to have negative thoughts. If these thoughts come to you against your will, as you have stated clearly that these are things that you don’t want to happen, they are harmless and should simply be ignored.
Dwelling on the these thoughts does no good for anyone. Usually, a good idea during such times is to to focus to other important pursuits, whether Torah study or even mundane things lhavdil, which require your focus and attention. I trust that your therapist will be able to help you in these matters.
Everybody has their unique challenge which has been given to them from above, as a means to improve themselves. This is not something that should put us off. On the contrary, this indicates the great trust that Hashem has in this individual that he can succeed under the circumstances.  The greater the challenge, the greater the person’s neshoma is and this indicates that there are more kochos this person receives from on High to deal with it.
The Torah advice is to take things step-by-step, not allowing us to become anxious about the fact that we haven’t yet reached our goal. This is a lifelong mission to achieve our purpose in this world and it should be done b’simcha.
Wishing you all well, especially and being able to accomplish these goals in a healthy manner."
 What is the status of German products? Was the Rebbe against buying them?,"
The halachic issues surrounding this topic have been discussed extensively. The general principle that one should avoid and not purchase from gentile countries applies when there’s no other choice.
In recent years many Jewish communities around world began purchasing these goods in large quantities which led some people mistakenly believe they were allowed under any circumstances even if it was possible otherwise – but actually we see an increase on those problems because now more Jews buy things made by non-Jews than ever before!
For example: A lot has changed",There is no halachic objection to buying German products. However there’s certainly nothing wrong with people who wish to avoid doing so based on history.
